Name,Date,Likes,isHearted,isPinned,Comment,(view source)
Yoke Sptr,25/01/21 16:55:51,0,no,no,makasii,view comment
Felix Man,26/01/21 09:00:03,0,no,no,karena tutor abng w yg masih SMP pun bisa fasthand dalam 1 bulan makasih bang atas tutornya,view comment
Pagi Yanti,27/01/21 06:09:03,0,no,no,Aku baru blajar pke ling (trialcard) bingung pke skill 3 nya. Tpi krna liat tutor ini jadi ngerti,view comment
nia Suryati,28/01/21 05:43:10,0,no,no,Makasih bang infonya??,view comment
Yosephine Anggreani,29/01/21 08:27:20,0,no,no,Susah pake hero ini,view comment
Nelfi Sukesi,30/01/21 13:39:24,0,no,no,Mantap nih kknya ngasih tutorialnya bagus ban Terimakasih ??,view comment
Danang Mul ya Utama,1/2/2021 0:25,0,no,no,"yang shere juga makasih banyak ya guys 
silvana: oke         13:47",view comment
Redmi,1/2/2021 3:26,0,no,no,Kok gak sakit ya build nya,view comment
Who I am?,8/2/2021 9:43,0,no,no,"Chanel ini yg bikin ling ku lumayan licin??
Maap bang walau komen telat??",view comment
Nawal Afnan,9/2/2021 12:50,0,no,no,"Makasi tutornya ??
Ak klo pake ling susah bnget.. Trus kyk gak kerasa gitu damage ling ku ..semoga tutor yg di kasi bisa membantu ??",view comment
Benhar Ali,11/2/2021 11:47,0,no,no,"Penjelasan terbaik,mantap dan mudah difahami..tw bro",view comment
Rayyen Naima,13/02/21 05:24:51,0,no,no,Makasih buat totorialnya,view comment
Tio Padilah,16/02/21 06:01:27,0,no,no,Gg gaming,view comment
Bang Ocal,18/02/21 09:32:16,0,no,no,Mantep ni abang yansem,view comment
Arif As'ad,23/02/21 01:14:05,0,no,no,Terima kasih kak,view comment
Zul Hardinata,23/02/21 02:21:35,0,no,no,"Cuman di Chanel ini doang w tempat mampir kalo mau belajar Hero
Thanks, sukses selalu",view comment
Rafael Youtube,26/02/21 06:02:22,0,no,no,Wah mantap Pantas saja Saat Ak Main Jdi beban,view comment
Violla 03,27/02/21 09:21:54,0,no,no,Makasih bang??,view comment
YT:MR•GAMING 123,28/02/21 11:38:09,0,no,no,Terimakasih bang infonya??,view comment
FAWWAZ AIRIEL,3/3/2021 9:56,0,no,no,"Terima kasih bang kerana ajarin saya.kalau saya dapat banyak kill pakai hero ling ini saya akan  subscribe youtube abang.ok????
 thank you!!????",view comment
Arif As'ad,4/3/2021 6:45,0,no,no,Terima kasih saya jago pakai ling,view comment
RIZKY HD,5/3/2021 9:45,0,no,no,"Op banget sih itu hero, sekaligis hero andalan gw",view comment
Tanpa Nama,9/3/2021 5:46,0,no,no,Saya user Lancelot saya cuma mau liat hero assasin yg lain ??,view comment
Hima Ohayo,11/3/2021 4:32,0,no,no,Itu bohong,view comment
Hima Ohayo,11/3/2021 4:32,0,no,no,Dia di Practice,view comment
Sport gaming. guinevere,12/3/2021 2:05,1,no,no,Bang saya tadi baru pake Ling dan temen saya ada yang nge end  sebelum item saya jadi semua. Saya sangat rugi saya gak kill banyak gara gara di end.??????gimana cara buat tim kita gak cepet nge end nya bang,view comment
Ananta Sarwono,12/3/2021 3:03,0,no,no,Tutor ter bagus ter lengkap,view comment
Michelle Joy,12/3/2021 12:40,0,no,no,Yang nge dislike udah putus sama ling :'),view comment
kanziks channel,18/03/21 14:01:15,1,no,no,Nah ini yg ku cari waktu ku coba di practice enak banget makasih y bang ??,view comment
Syena Bella Syena,19/03/21 05:20:12,0,no,no,Makasih bg tutorial x,view comment
Danila Danila,20/03/21 10:23:40,0,no,no,Terima kasih atas tutoriolnya,view comment
Rafi Adiwitiya,23/03/21 04:03:39,0,no,no,Dari semua channel tutorial ml cuma channel yanshen Lim yang saya suka,view comment
Hoa Soe,24/03/21 02:40:01,0,no,no,Bang minta 759 mau beli ling comos,view comment
Us Man,30/03/21 01:07:28,1,no,no,Bang terima kasih aku udah bisa pake Ling bermanfaat banget bang,view comment
DEWI SETIANINGSIH,2/4/2021 16:07,0,no,no,Makasih kak info nya?? :),view comment
Evos ZX,10/4/2021 9:25,0,no,no,Thanks Kaka,view comment
FAKHRI FAKHRUDIN,12/4/2021 4:45,0,no,no,Terima kasih bang. Gw pemula nanti kalau punya Hero Ling. Gw praktekan lah dari tutor ini. Thanks bang Yanshen Lim,view comment
Video Islami,13/04/21 01:30:43,1,no,no,#Yanshen Lim next RRQ,view comment
Mcdyrell Sabrin,15/04/21 12:34:46,0,no,no,Tq,view comment
Adit Gaming Skul,16/04/21 13:44:25,0,no,no,Bang tutorial fany dong entar gua subrek,view comment
Tiffany Tiany,17/04/21 00:24:24,0,no,no,"MAKASIH BANGET gua cuman baru ngerti soal ling lewat sini, nonton video orang lain jujur malah bingung..",view comment
Briellegriffin,17/04/21 04:35:20,0,no,no,Semangat terus bang??,view comment
Ramadhani Lesmana,20/04/21 07:32:55,0,no,no,Ok kak,view comment
